Mean Rating,Std. Dev of Rating,English Cognate,Spanish Cognate,Point of  Diff. Letter,RT (msec),Observations (Correct RTs),Accuracy
5.31,0.811,abandon,abandonar,8.0,865.1785714285714,28.0,0.9655172413793104
5.95,0.492,abstract,abstracto,9.0,802.7575757575758,33.0,0.9705882352941176
5.52,0.707,academy,academia,7.0,838.9285714285714,28.0,0.9655172413793104
5.55,0.942,access,acceso,6.0,791.8387096774194,31.0,0.9393939393939394
4.79,1.025,accommodate,acomodar,3.0,950.8571428571429,28.0,0.9655172413793104
4.67,1.004,accompany,acompañar,3.0,875.32,25.0,0.9615384615384616
5.14,0.872,accumulate,acumular,3.0,764.76,25.0,1.0
3.64,1.226,acquire,adquirir,2.0,805.56,25.0,0.8928571428571429
5.55,0.671,adapt,adaptar,6.0,892.8461538461538,26.0,0.9285714285714286
4.74,1.037,adequate,adecuado,4.0,925.8,25.0,0.9615384615384616
4.81,1.153,adjacent,adyacente,3.0,926.2727272727273,22.0,0.7096774193548387
4.57,1.172,adjust,ajustar,2.0,796.8,30.0,0.967741935483871
5.33,0.954, administrate,administrar,11.0,766.0857142857143,35.0,1.0
6.02,0.412,adult,adulto,6.0,883.7037037037037,27.0,0.9642857142857143
2.5,1.436,advocate,abogar,2.0,1265.7272727272727,11.0,0.3548387096774194
5.12,0.968,affect,afectar,3.0,901.2692307692307,26.0,0.9629629629629629
4.41,1.106,aggregate,agregado,3.0,836.8965517241379,29.0,1.0
1.86,1.072,aid,ayuda,2.0,1097.8333333333333,12.0,0.3870967741935484
5.14,0.872,alter,alterar,6.0,841.8666666666667,30.0,1.0
5.71,0.891, alternative,alternativo,11.0,808.03125,32.0,0.9696969696969697
4.95,1.058,ambiguous,ambiguo,8.0,820.2352941176471,34.0,1.0
3.31,1.26,amend,enmendar,1.0,1214.4285714285713,14.0,0.56
5.33,0.874,analogy,analogía,7.0,773.0869565217391,23.0,0.92
4.76,1.185,analyze,analizar,5.0,751.6190476190476,21.0,1.0
5.79,1.298,annual,anual,3.0,962.8181818181819,33.0,0.9705882352941176
5.33,0.754,anticipate,anticipar,9.0,785.2592592592592,27.0,1.0
5.5,0.89,apparent,aparente,3.0,866.05,20.0,0.8695652173913043
4.31,0.749,appreciate,apreciar,3.0,846.1818181818181,33.0,0.9705882352941176
4.26,1.191,appropriate,apropiado,3.0,799.7037037037037,27.0,1.0
5.19,0.773,approximate,aproximar,3.0,771.28,25.0,0.9615384615384616
5.02,0.975,arbitrary,arbitrario,9.0,831.0357142857143,28.0,0.9655172413793104
6.88,0.328,area,área,5.0,853.4642857142857,28.0,1.0
5.86,0.899,aspect,aspecto,7.0,742.2916666666666,24.0,0.9230769230769231
3.6,1.19,assemble,ensamblar ,1.0,1056.6,25.0,0.8620689655172413
4.55,0.916,assign,asignar,3.0,858.28,25.0,0.9259259259259259
5.17,1.034,assist,asistir,3.0,786.9459459459459,37.0,0.9736842105263158
4.67,1.223,assume,asumir,3.0,912.5357142857143,28.0,0.9032258064516129
2.95,1.361,assure,asegurar,3.0,876.125,24.0,0.8275862068965517
4.43,1.192,attitude,actitud,2.0,822.4,30.0,0.9375
4.43,0.966,attribute,atribuir,3.0,823.2413793103449,29.0,0.90625
5.43,1.039,author,autor,4.0,893.7857142857143,28.0,0.8484848484848485
4.71,0.97,authority,autoridad,4.0,910.9354838709677,31.0,0.96875
4.29,1.066,automate,automatizar,8.0,939.3666666666667,30.0,0.9090909090909091
4.88,0.832,benefit,beneficio,7.0,872.0,30.0,0.967741935483871
3.64,1.284,brief,breve,3.0,832.5,12.0,0.631578947368421
3.93,0.838,capable,capaz,5.0,909.0454545454545,22.0,0.6666666666666666
5.12,0.832,capacity,capacidad,7.0,797.8709677419355,31.0,0.96875
5.38,1.035,category,categoría,8.0,802.5714285714286,28.0,0.9655172413793104
4.38,1.378,cease,cesar,3.0,869.625,24.0,0.9230769230769231
3.31,1.405,channel,canal,2.0,1007.3571428571429,28.0,0.7777777777777778
2.38,1.464,chapter,capítulo,2.0,761.2777777777778,18.0,0.6206896551724138
2.76,1.511,chart,carta,2.0,998.125,24.0,0.7272727272727273
2.67,1.509,chemical,químico,1.0,1006.8333333333334,6.0,0.21428571428571427
5.41,0.885,circumstance,circunstancia,6.0,781.4230769230769,26.0,0.9629629629629629
5.21,0.976,cite,citar,4.0,875.3571428571429,28.0,0.9655172413793104
7.0,0.0,civil,civil,6.0,714.7142857142857,35.0,0.9459459459459459
4.81,0.833,clarify,clarificar,7.0,788.8,35.0,1.0
5.57,0.77,classic,clásico,5.0,700.8076923076923,26.0,0.9285714285714286
4.67,0.954,clause,cláusula,6.0,879.6086956521739,23.0,0.9583333333333334
3.98,1.259,code,código,4.0,1018.9583333333334,24.0,0.7741935483870968
5.86,0.718,coherent,coherente,9.0,797.7857142857143,28.0,0.9655172413793104
5.36,0.759,coincide,coincidir,8.0,789.5,24.0,1.0
5.02,0.924,collapse,colapso,4.0,820.925925925926,27.0,0.9642857142857143
4.24,1.185,colleague,colega,4.0,880.8,25.0,0.8620689655172413
4.88,0.968,commence,comenzar,4.0,787.8148148148148,27.0,0.9
5.02,0.811,comment,comentar,4.0,908.28,25.0,1.0
5.38,0.987,commission,comisión,4.0,785.8928571428571,28.0,0.9333333333333333
4.17,1.102,commit,cometer,4.0,1016.5416666666666,24.0,1.0
4.95,0.795,commodity,comodidad,4.0,707.6538461538462,26.0,1.0
4.79,0.898,communicate,comunicar,4.0,810.9666666666667,30.0,0.967741935483871
5.38,0.697,community,comunidad,4.0,935.1935483870968,31.0,0.96875
6.95,0.216, compatible,compatible,11.0,785.0833333333334,24.0,0.96
5.17,0.986,compensate,compensar,9.0,689.6785714285714,28.0,0.9655172413793104
5.14,0.872,compile,compilar,7.0,797.0625,32.0,1.0
5.41,0.964, complement,complementar,11.0,738.75,24.0,0.96
4.88,0.803,complex,complejo,7.0,913.7878787878788,33.0,0.9428571428571428
5.67,1.052, component,componente,10.0,699.0967741935484,31.0,0.96875
3.38,1.209,compound,compuesto,5.0,922.4615384615385,26.0,0.9285714285714286
5.12,0.916,comprehensive,comprensivo,7.0,818.8260869565217,23.0,0.9583333333333334
3.79,1.24,comprise,comprender,6.0,862.7096774193549,31.0,0.9117647058823529
5.1,0.878,compute,computar,7.0,780.65625,32.0,0.9696969696969697
3.93,1.177,conceive,concebir,6.0,928.6428571428571,28.0,1.0
5.33,0.721, concentrate,concentrar,10.0,775.9705882352941,34.0,0.9714285714285714
5.88,0.593,concept,concepto,8.0,815.7903225806451,35.0,1.0
4.98,0.95,conclude,concluir,7.0,762.7878787878788,33.0,0.9428571428571428
6.0,0.383, concurrent,concurrente,11.0,848.9677419354839,31.0,0.96875
6.02,0.348,conduct,conducto,8.0,768.7619047619048,21.0,0.9130434782608695
5.33,0.786,confer,conferir,7.0,856.0384615384615,26.0,0.9285714285714286
